順位,乗降客数,駅名,路線名,区分,事業者名,都道府県コード
202,1296,"永犬丸","筑豊電気鉄道線","民営","筑豊電気鉄道","40"
203,1290,"酒殿","香椎線","ＪＲ","九州旅客鉄道","40"
204,1267,"甘木","甘木線","民営","西日本鉄道","40"
205,1255,"銀水","鹿児島線","ＪＲ","九州旅客鉄道","40"
206,1254,"加布里","筑肥線","ＪＲ","九州旅客鉄道","40"
207,1243,"八丁牟田","天神大牟田線","民営","西日本鉄道","40"
208,1218,"新大牟田","九州新幹線","新幹線","九州旅客鉄道","40"
209,1202,"穴生","筑豊電気鉄道線","民営","筑豊電気鉄道","40"
210,1174,"倉永","天神大牟田線","民営","西日本鉄道","40"
211,1136,"田主丸","久大線","ＪＲ","九州旅客鉄道","40"
212,1105,"天道","筑豊線","ＪＲ","九州旅客鉄道","40"
213,1092,"唐の原","貝塚線","民営","西日本鉄道","40"
214,1083,"筑前植木","筑豊線","ＪＲ","九州旅客鉄道","40"
215,1063,"櫛原","天神大牟田線","民営","西日本鉄道","40"
216,1043,"小郡","甘木線","三セク","甘木鉄道","40"
217,1035,"萩原","筑豊電気鉄道線","民営","筑豊電気鉄道","40"
218,1025,"犬塚","天神大牟田線","民営","西日本鉄道","40"
219,1017,"吉野","鹿児島線","ＪＲ","九州旅客鉄道","40"
220,1005,"大溝","天神大牟田線","民営","西日本鉄道","40"
221,986,"筑後吉井","久大線","ＪＲ","九州旅客鉄道","40"
222,958,"安武","天神大牟田線","民営","西日本鉄道","40"
223,919,"筑豊直方","筑豊電気鉄道線","民営","筑豊電気鉄道","40"
224,912,"希望が丘高校前","筑豊電気鉄道線","民営","筑豊電気鉄道","40"
225,902,"三潴","天神大牟田線","民営","西日本鉄道","40"
226,888,"一貴山","筑肥線","ＪＲ","九州旅客鉄道","40"
227,875,"筑豊中間","筑豊電気鉄道線","民営","筑豊電気鉄道","40"
228,866,"南久留米","久大線","ＪＲ","九州旅客鉄道","40"
228,866,"西鉄中島","天神大牟田線","民営","西日本鉄道","40"
230,861,"西牟田","鹿児島線","ＪＲ","九州旅客鉄道","40"
231,828,"福吉","筑肥線","ＪＲ","九州旅客鉄道","40"
232,820,"東水巻","筑豊線","ＪＲ","九州旅客鉄道","40"
233,815,"筑前垣生","筑豊線","ＪＲ","九州旅客鉄道","40"
233,815,"田川伊田","田川線","三セク","平成筑豊鉄道","40"
235,808,"行橋","田川線","三セク","平成筑豊鉄道","40"
236,801,"金田","伊田線","三セク","平成筑豊鉄道","40"
237,772,"木屋瀬","筑豊電気鉄道線","民営","筑豊電気鉄道","40"
238,771,"雁ノ巣","香椎線","ＪＲ","九州旅客鉄道","40"
239,759,"石田","日田彦山線","ＪＲ","九州旅客鉄道","40"
240,758,"新入","筑豊線","ＪＲ","九州旅客鉄道","40"
241,740,"五郎丸","甘木線","民営","西日本鉄道","40"
242,718,"吉富","日豊線","ＪＲ","九州旅客鉄道","40"
243,717,"鯰田","筑豊線","ＪＲ","九州旅客鉄道","40"
244,698,"西鉄銀水","天神大牟田線","民営","西日本鉄道","40"
245,688,"奥洞海","筑豊線","ＪＲ","九州旅客鉄道","40"
246,685,"一本松","日田彦山線","ＪＲ","九州旅客鉄道","40"
